bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
自学Python 编程基础、科学计算及数据分析,李金,机械工业出版社,2018年03月,54.20,9787111586678,280,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python云原生：构建应对海量用户数据的高可扩展Web应用,（印度）Manish Sethi（马尼什 塞西）,电子工业出版社,2018年07月,61.10,9787121341779,104,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
精通Python自然语言处理,"[印度] Deepti Chopra, Nisheeth Joshi, Iti",人民邮电出版社,2017年07月,40.40,9787115459688,697,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python程序设计基础,李东方　主编,电子工业出版社,2017年01月,26.90,9787121302923,278,轻型纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python科学计算基础教程,印 赫曼塔 库玛 梅赫塔 Hemant Kumar Mehta,人民邮电出版社,2016年11月,38.40,9787115436986,309,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python大学教程,吕云翔 编著,电子工业出版社,2017年09月,40.20,9787121319440,37,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Python程序设计基础,蔡永铭,人民邮电出版社,2019年01月,47.70,9787115490155,9,胶版纸,平装-胶订,否,图书>教材>高职高专教材>计算机图书>计算机/网络>程序设计>Python
OpenCV 3计算机视觉：Python语言实现（原书第2版）,[爱尔兰]　乔·米尼奇诺(Joe Minichino),机械工业出版社,2016年06月,38.70,9787111539759,2288,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
OpenCV算法精解：基于Python与C++,张平 编著,电子工业出版社,2017年10月,53.90,9787121324956,1146,胶版纸,平装-胶订,否,图书>计算机/网络>图形图像多媒体>其他
Python编程基础,闫俊伢,人民邮电出版社,2016年10月,31.00,9787115434142,104,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python 3.x程序设计基础,周元哲,清华大学出版社,2019年04月,45.00,9787302526575,0,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python网络数据爬取及分析从入门到精通（爬取篇）（内容讲解专业但不晦涩，实例分析实际但不枯燥）,杨秀璋，颜娜,北京航空航天大学出版社,2018年05月,40.90,9787512427129,67,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python 3面向对象编程 第2版（影印版）,(加)杜斯提·菲利普,东南大学出版社,2017年04月,63.00,9787564170745,53,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
