bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python机器学习入门（影印版）,(美)安德烈亚斯·穆勒//莎拉·圭多,东南大学出版社,2017年01月,61.10,9787564169060,161,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python编程基础与应用,韦德泉 许桂秋,人民邮电出版社,2019年03月,38.10,9787115503466,7,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
卷积神经网络的Python实现,单建华,人民邮电出版社,2019年01月,38.40,9787115497567,143,胶版纸,平装-胶订,否,图书>计算机/网络>人工智能>机器学习
11招玩转网络安全——用Python，更安全,hstking,电子工业出版社,2018年05月,47.30,9787121341083,233,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
贝叶斯方法 概率编程与贝叶斯推断,加 Cameron Davidson Pilon 卡梅隆 戴维森 皮隆,人民邮电出版社,2016年12月,40.40,9787115438805,2699,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
Odoo快速入门与实战：Python开发ERP指南,刘金亮,机械工业出版社,2019年05月,62.10,9787111625308,35,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python基础编程与实践,朱旭振 黄赛,机械工业出版社,2019年03月,56.50,9787111620273,5,胶版纸,平装-胶订,否,图书>教材>高职高专教材>计算机
PyQt5快速开发与实战,王硕　著,电子工业出版社,2017年10月,77.80,9787121322914,936,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>其他
Python语言程序设计,王小银、王曙燕、孙家泽,清华大学出版社,2017年12月,39.00,9787302485582,41,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
面向ArcGIS的Python脚本编程,[美]Paul A. Zandbergen　著，李明巨　等译,人民邮电出版社,2014年11月,33.50,9787115370198,781,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
Python程序设计（普通高等教育“十三五”规划教材）,"丁亚涛,王世好,胡继礼,阚峻岭",水利水电出版社,2018年12月,37.90,9787517070054,22,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学图书>计算机/网络>程序设计>Python
Python网络数据爬取及分析从入门到精通（分析篇）（内容讲解专业但不晦涩，实例分析实际但不枯燥）,杨秀璋，颜娜,北京航空航天大学出版社,2018年05月,40.90,9787512427136,49,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
投资学及其Python应用,朱顺泉,清华大学出版社,2019年01月,49.00,9787302514640,8,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>经济管理类图书>管理>金融/投资>投资融资
语料库与python应用  语料库翻译学文库,管新潮 著,上海交通大学出版社,2018年09月,43.50,9787313197481,158,胶版纸,平装-胶订,否,图书>外语>英语专项训练>翻译
Python程序设计,王学军 胡畅霞 韩艳峰,人民邮电出版社,2018年01月,40.20,9787115469304,14,胶版纸,平装,否,图书>教材>研究生/本科/专科教材>工学
AI的幕后英雄：Python 中小学人工智能精品课程系列丛书,熊友军，王吉庆，黄劲松,华东师范大学出版社,2018年11月,55.30,9787567585553,49,胶版纸,平装-胶订,否,图书>中小学教辅>小学通用>其他科目
树莓派实战全攻略:Scratch、Python、Linux、Minecraft应用与机器人智能制作,[英]Stewart Watkiss,人民邮电出版社,2018年07月,82.50,9787115483706,177,胶版纸,平装-胶订,否,图书>计算机/网络>操作系统/系统开发>LINUX
Python全栈开发实践入门 Python全栈入门书 Python Web Flask框架开发流程 python全栈开发工程师前端后端开发测试部署+ React Native移动开发实战 React,谢瑛俊,电子工业出版社,2017年11月,136.00,9787121328114,0,胶版纸,平装-胶订,是,图书>计算机/网络>操作系统/系统开发>系统开发
Python深度学习入门 人工智能书籍 Python神经网络编程 机器学习实战 深度学习ai算法 TensorFlow入门深度学习算法原理与编程实践,(美)伊恩·古德费洛//(加)约书亚·本吉奥,人民邮电,2018年11月,475.60,9787115461476,0,胶版纸,平装-胶订,是,图书>计算机/网络>计算机考试认证>计算机等级考试
